Oracle,Security Feature,iCall Location,Time,Flipfrom,Flipto,Note
Nginx-N3,WAF,ngx_conf_file.c:463,10,,ngx_error_log.89,
,,,10,,ngx_http_core_error_page,
,,ngx_http.c:310,17,,ngx_http_access_init,
,,,,,ngx_http_auth_basic_init,
,,,,,ngx_http_autoindex_init,
,,,,,ngx_http_core_postconfiguration,
,,,,,ngx_http_index_init,
,,,,,ngx_http_limit_conn_init,
,,,,,ngx_http_limit_req_init,
,,,,,ngx_http_log_init,
,,,,,ngx_http_mirror_init,
,,,,,ngx_http_rewrite_init,
,,,,,ngx_http_static_init,
,,,,,ngx_http_try_files_init,
,,ngx_http.c:597,18,,ngx_http_ssi_merge_loc_conf,Location Dependent
,,ngx_http.c:650,72,,ngx_http_autoindex_merge_loc_conf,
,,,72,,ngx_http_memcached_merge_loc_conf,
,,,72,,ngx_http_rewrite_merge_loc_conf,
,,ngx_http_core_module.c:875,5,,ngx_http_core_find_config_phase,
,,,5,,ngx_http_core_post_access_phase,
,,,5,,ngx_http_core_post_rewrite_phase,
,,ngx_http_core_module.c:897,0,,ngx_http_limit_conn_handler,
,,,0,,ngx_http_limit_req_handler,
,,,0,,ngx_http_mirror_handler,
,,,0,,ngx_http_try_files_handler,
