Oracle,Security Feature,iCall Location,Time,Flipfrom,Flipto,Note
ProFTPD-P2,Login attempt limit,modules.c:59,7,set_banengine,set_servername,
,,,7,,set_delayengine,
,,,7,,set_systemlog,
,,,7,,set_requirevalidshell,
,,,7,,set_port,
,,,7,,set_authorder,
,,,7,,set_defaultserver,
,,,7,,start_ifmodule,
,,,7,,set_allowoverwrite,
,,,7,,auth_err_pass,
,,,7,,auth_user,
,,,7,,add_transferlog,
,,,7,,core_post_pass,
,,,7,,core_quit,
,,,7,,core_syst,
,,,7,,pw_getgrent,
,,,7,,pw_getpwent,
,,,10,set_banonevent,set_servername,
,,,10,,add_transferlog,
,,,10,,set_systemlog,
,,,10,,set_authorder,
,,,10,,auth_user,
,,,10,,set_useralias,
,,,10,,auth_err_pass,
,,,10,,set_port,
,,,10,,start_ifmodule,
,,,10,,core_post_pass,
,,,10,,core_quit,
,,,10,,core_syst,
,,,10,,pw_getgrent,
,,,10,,pw_getpwent,
,,,33,set_authuserfile,set_bantable,
,,event.c:371,8,ban_maxloginattempts_ev,core_connected_ev,
,,,8,,delay_postparse_ev,
,,,8,,log_exit_ev,
,,,8,,log_postparse_ev,
,,,8,,auth_exit_ev,
,,,8,,xfer_exit_ev,
,,,8,,regexp_exit_ev,
,,,8,,core_startup_ev,
,,,8,,rlimit_chroot_ev,
,,,8,,rlimit_postparse_ev,
,,,8,,ban_postparse_ev,
,,,8,,core_postparse_ev,
,,,8,,ctrls_postparse_ev,
,,,8,,auth_unix_exit_ev,
,,,8,,core_exit_ev,
